created_at,current_price,fluctuation_rate,stock_code,stock_name,trading_volume
2021-03-15 20:43:33,"85,600",+5.68%,004800,효성,"239,988"
2021-03-15 20:43:33,"8,090",-0.25%,042670,두산인프라코어,"1,215,296"
2021-03-15 20:43:33,"38,100",-2.06%,111770,영원무역,"186,402"
2021-03-15 20:43:33,"53,900",+0.56%,010780,아이에스동서,"52,930"
2021-03-15 20:43:33,"34,000",-2.30%,005250,녹십자홀딩스,"236,798"
2021-03-15 20:43:33,"17,100",-2.84%,000240,한국앤컴퍼니,"204,664"
2021-03-15 20:43:33,"277,000",+0.54%,004370,농심,"26,201"
2021-03-15 20:43:33,"23,200",-0.43%,003000,부광약품,"500,958"
2021-03-15 20:43:33,"204,000",+4.08%,031430,신세계인터내셔날,"56,366"
2021-03-15 20:43:33,"54,800",-1.26%,120110,코오롱인더,"226,418"
2021-03-15 20:43:33,"123,000",-1.20%,069620,대웅제약,"36,407"
2021-03-15 20:43:33,"13,000",+1.17%,016380,KG동부제철,"245,723"
2021-03-15 20:43:33,"54,000",+2.47%,004000,롯데정밀화학,"133,369"
2021-03-15 20:43:33,"57,600",+0.35%,161890,한국콜마,"138,777"
2021-03-15 20:43:33,"5,610",+0.36%,001740,SK네트웍스,"4,700,347"
2021-03-15 20:43:33,"20,250",+4.92%,032350,롯데관광개발,"1,032,407"
2021-03-15 20:43:33,"50,500",+1.41%,014820,동원시스템즈,"64,886"
2021-03-15 20:43:33,"28,050",0.00%,051600,한전KPS,"94,795"
2021-03-15 20:43:33,"84,600",-1.05%,013890,지누스,"27,446"
2021-03-15 20:43:33,"78,300",+0.64%,000210,DL,"164,869"
2021-03-15 20:43:33,"62,700",-0.48%,006120,SK디스커버리,"86,866"
2021-03-15 20:43:33,"59,300",-1.33%,214320,이노션,"35,109"
2021-03-15 20:43:33,"22,700",-1.52%,009420,한올바이오파마,"187,985"
2021-03-15 20:43:33,"117,000",-0.43%,192820,코스맥스,"68,049"
2021-03-15 20:43:33,"3,915",-0.13%,073240,금호타이어,"256,473"
2021-03-15 20:43:33,"6,300",+0.48%,003520,영진약품,"482,594"
2021-03-15 20:43:33,"80,100",-1.84%,004490,세방전지,"78,981"
2021-03-15 20:43:33,"30,000",+1.52%,001120,LG상사,"695,654"
2021-03-15 20:43:33,"608,000",-0.49%,000670,영풍,"1,120"
2021-03-15 20:43:33,"15,050",-0.66%,020560,아시아나항공,"566,364"
2021-03-15 20:43:33,"16,750",+0.30%,114090,GKL,"263,101"
2021-03-15 20:43:33,"121,500",0.00%,005300,롯데칠성,"19,820"
2021-03-15 20:43:33,"21,050",0.00%,003850,보령제약,"346,301"
2021-03-15 20:43:33,"10,600",+8.61%,005440,현대그린푸드,"4,607,516"
2021-03-15 20:43:33,"56,200",+1.63%,192080,더블유게임즈,"81,214"
2021-03-15 20:43:33,"29,100",+1.75%,079160,CJ CGV,"607,504"
2021-03-15 20:43:33,"923,000",+0.76%,003240,태광산업,723
2021-03-15 20:43:33,"10,600",+2.42%,001230,동국제강,"1,358,130"
2021-03-15 20:43:33,"23,900",-0.21%,069260,휴켐스,"322,525"
2021-03-15 20:43:34,"15,950",-3.92%,241590,화승엔터프라이즈,"1,060,468"
2021-03-15 20:43:34,"65,400",+0.93%,064960,SNT모티브,"57,519"
2021-03-15 20:43:34,"133,000",-3.62%,192400,쿠쿠홀딩스,"4,545"
2021-03-15 20:43:34,"10,250",-0.49%,093370,후성,"629,970"
2021-03-15 20:43:34,"77,400",-0.13%,057050,현대홈쇼핑,"19,183"
2021-03-15 20:43:34,"37,150",-0.40%,020000,한섬,"45,465"
2021-03-15 20:43:34,"32,800",-0.30%,103140,풍산,"252,856"
2021-03-15 20:43:34,"14,300",+2.51%,001800,오리온홀딩스,"291,658"
2021-03-15 20:43:34,"40,450",+1.13%,284740,쿠쿠홈시스,"78,732"
2021-03-15 20:43:34,"37,800",-1.18%,071840,롯데하이마트,"51,073"
